temperature,humidity,soil_moisture,water_needed
28.9,41.3,840,0
22.2,47.0,752,0
29.5,84.6,744,0
28.0,41.6,747,0
21.7,65.3,713,0
27.5,75.8,979,1
25.1,62.5,842,0
31.8,40.3,781,0
29.9,57.0,779,0
21.7,78.2,752,0
19.6,44.8,876,1
28.3,80.4,935,1
27.1,88.7,893,0
19.3,54.7,1021,1
28.5,83.1,995,1
21.3,43.5,816,0
31.1,89.3,819,0
32.7,59.0,932,1
28.8,58.2,889,1
24.0,73.5,736,0
28.4,48.6,825,0
20.8,59.0,985,1
21.7,56.2,728,0
21.9,41.6,861,1
24.8,43.3,990,1
32.9,55.7,955,1
24.7,85.7,934,0
20.4,47.0,987,1
27.2,77.4,919,0
33.3,60.0,812,0
35.0,46.9,952,1
19.5,42.4,756,0
20.6,48.0,916,1
28.1,59.2,1005,1
34.9,66.5,983,1
32.6,40.6,758,0
29.6,66.8,836,0
31.1,57.0,850,1
25.4,62.7,834,0
34.5,78.1,959,1
33.5,83.5,852,1
32.3,65.4,801,0
20.6,78.1,976,1
34.2,86.1,700,0
28.2,64.4,757,0
33.8,83.9,857,1
22.1,52.0,990,1
34.1,44.3,948,1
31.9,88.9,972,1
31.0,46.4,943,1
34.1,48.3,970,1
32.8,61.2,808,0
33.8,77.8,802,0
30.1,59.9,891,1
25.4,65.9,761,0
22.2,43.2,710,0
28.0,51.5,812,0
18.1,75.4,730,0
21.9,85.3,869,0
19.2,51.9,948,1
21.6,46.6,992,1
27.8,52.1,942,1
31.7,49.5,749,0
29.2,57.7,910,1
25.9,76.5,750,0
19.0,76.4,755,0
22.2,49.5,929,1
20.4,49.2,936,1
22.2,86.2,926,0
31.7,82.8,750,0
18.9,90.0,707,0
34.5,86.3,821,0
20.8,64.3,809,0
32.7,85.1,784,0
24.4,89.3,835,0
33.8,79.3,846,0
25.2,87.9,984,1
29.3,64.3,797,0
23.0,88.4,996,1
30.5,43.0,860,1
19.0,69.2,957,1
33.6,66.6,729,0
34.3,44.0,795,0
19.2,43.4,820,0
24.9,87.1,991,1
22.2,69.7,1017,1
19.4,72.9,989,1
26.9,86.7,804,0
29.4,55.7,835,0
24.7,73.6,853,0
25.8,86.5,737,0
18.2,71.1,988,1
34.9,43.7,809,0
26.6,46.6,878,1
33.0,84.0,889,1
22.8,61.9,978,1
30.0,70.6,970,1
18.1,80.9,853,0
33.8,45.2,768,0
22.5,84.5,983,1
20.6,54.1,807,0
30.2,50.2,1024,1
32.5,65.3,828,0
33.4,82.3,747,0
28.8,81.5,722,0
18.1,78.6,834,0
20.7,62.1,918,0
27.5,45.6,776,0
27.3,81.7,998,1
27.4,61.5,721,0
23.2,84.9,720,0
33.3,50.5,827,0
29.3,57.7,986,1
33.0,60.3,1017,1
30.7,86.3,821,0
32.7,88.8,790,0
33.0,41.2,870,1
31.3,60.6,827,0
22.5,79.4,755,0
24.5,41.9,940,1
21.8,80.8,935,0
23.9,81.0,816,0
21.8,73.0,904,0
23.6,83.2,842,0
24.0,65.5,974,1
23.6,41.4,833,0
21.0,88.1,835,0
18.7,69.8,876,0
30.4,55.7,1010,1
34.7,45.8,995,1
21.2,42.2,923,1
18.0,86.3,975,1
29.7,87.0,800,0
24.2,43.5,869,1
28.6,73.2,763,0
30.2,55.0,858,1
29.3,56.3,851,1
27.4,49.6,894,1
29.5,85.1,1015,1
27.7,60.3,700,0
23.2,50.5,996,1
28.3,56.1,926,1
25.5,50.7,942,1
31.5,88.0,786,0
29.2,54.2,1024,1
28.5,44.7,820,0
29.4,51.2,801,0
20.5,42.3,943,1
28.4,78.4,933,1
25.0,71.5,799,0
30.2,59.2,904,1
22.1,72.8,702,0
33.2,83.0,754,0
31.2,50.9,965,1
25.9,67.9,762,0
25.8,80.1,971,1
34.8,69.8,926,1
28.4,76.0,958,1
25.3,85.3,928,0
33.3,77.2,943,1
25.7,77.6,841,0
31.0,66.1,1020,1
22.1,62.0,846,0
22.0,56.8,976,1
19.4,47.5,896,1
29.8,75.3,732,0
25.1,56.5,938,0
25.1,50.3,915,1
24.6,78.5,710,0
32.6,78.3,894,1
26.1,87.1,852,0
30.8,82.7,914,1
27.1,76.7,1008,1
33.3,64.4,839,0
25.4,41.5,872,1
29.4,79.9,784,0
32.3,86.0,1018,1
